# ==============================================,,,,,,,,,
# TCC - Log de Teste de Envelhecimento,,,,,,,,,
# ==============================================,,,,,,,,,
# Data/Hora Início: 2026-01-10 11:52:13,,,,,,,,,
# ,,,,,,,,,
# PARÂMETROS PID (FIXOS):,,,,,,,,,
#   Kp = 2.780000,,,,,,,,,
#   Ki = 0.00106000,,,,,,,,,
#   Kd = 5.000000,,,,,,,,,
# ,,,,,,,,,
# MODELO FOPDT IDENTIFICADO:,,,,,,,,,
#   G(s) = 1.56 * exp(-150.6s) / (1307.2s + 1),,,,,,,,,
#   K = 1.56 °C/%,,,,,,,,,
#   θ = 150.6 s,,,,,,,,,
#   τ = 1307.2 s,,,,,,,,,
# ,,,,,,,,,
# CONFIGURAÇÃO:,,,,,,,,,
#   Taxa de Rampa: 1.0 °C/s,,,,,,,,,
#   Intervalo de Amostragem: 1000 ms,,,,,,,,,
#   Janela PWM (SSR): 5000 ms,,,,,,,,,
# ,,,,,,,,,
# LIMITES DE SEGURANÇA:,,,,,,,,,
#   Temp. Máx. Forno: 130.0 °C,,,,,,,,,
#   Temp. Máx. DUT: 130.0 °C,,,,,,,,,
#   Corrente Máx. PSU: 1.5 A,,,,,,,,,
# ==============================================,,,,,,,,,
# ,,,,,,,,,
time_sec,oven_temp_c,oven_setpoint_c,oven_output_pct,psu_voltage_v,psu_current_a,dut_temp_c,dut_slack,dut_volt,
194,51.51,100,100,1,0.049,37.158,60,0.993,526.838
195,51.51,100,100,1,0.049,37.385,58,0.993,527.838
196,51.65,100,100,1,0.049,37.291,60,0.995,528.838
197.001,51.63,100,100,1,0.049,37.271,58,0.994,529.839
198,51.7,100,100,1,0.049,37.015,58,0.993,530.838
199,51.84,100,100,1,0.049,36.779,60,0.993,531.838
200,51.85,100,100,1,0.049,36.882,59,0.993,532.838
201,51.91,100,100,1,0.049,37.547,60,0.993,533.838
201.999,52.02,100,100,1,0.05,37.158,58,0.993,534.837
202.999,52.13,100,100,1,0.049,37.138,61,0.993,535.837
203.999,52.17,100,100,1,0.049,37.906,59,0.993,536.837
204.999,52.33,100,100,1,0.049,37.281,59,0.994,537.837
206,52.34,100,100,1,0.049,37.291,60,0.993,538.838
207,52.33,100,100,1,0.049,36.892,58,0.993,539.838
208,52.38,100,100,1,0.05,37.547,59,0.993,540.838
208.999,52.54,100,100,1,0.049,36.902,58,0.993,541.837
209.999,52.67,100,100,1,0.049,37.271,60,0.993,542.837
210.999,52.72,100,100,1,0.049,37.803,58,0.993,543.837
212.001,52.76,100,100,1,0.049,36.37,58,0.993,544.839
213,52.97,100,100,1,0.049,37.158,58,0.993,545.838
214,52.97,100,100,1,0.049,37.291,60,0.995,546.838
215,52.97,100,100,1,0.049,36.912,59,0.992,547.838
216,53.01,100,100,1,0.049,37.168,60,0.993,548.838
216.999,53.09,100,100,1,0.049,37.168,60,0.993,549.837
217.999,53.16,100,100,1,0.049,37.291,60,0.992,550.837
219,53.22,100,100,1,0.049,37.291,60,0.995,551.838
220.001,53.3,100,100,1,0.049,37.025,58,0.993,552.839
221,53.46,100,100,1,0.049,37.793,59,0.992,553.838
221.999,53.45,100,100,1,0.049,37.158,60,0.994,554.837
223,53.55,100,100,1,0.049,36.636,60,0.993,555.838
224,53.54,100,100,1,0.049,37.537,59,0.993,556.838
224.999,53.58,100,100,1,0.049,37.414,58,0.994,557.837
225.999,53.65,100,100,1,0.049,37.291,59,0.993,558.837
227,53.79,100,100,1,0.049,37.168,60,0.993,559.838
227.999,53.81,100,100,1,0.049,36.902,59,0.993,560.837
228.999,53.85,100,100,1,0.049,37.424,58,0.993,561.837
230.001,54.06,100,100,1,0.049,37.527,58,0.994,562.839
230.999,53.99,100,100,1,0.049,37.291,59,0.994,563.837
