Data,Hora,Temperatura,Slack,Tensão
07/04/2025,13:05:35,109496,127,1293
07/04/2025,13:05:37,110634,127,1294
07/04/2025,13:05:39,110368,127,1292
07/04/2025,13:05:41,110368,127,1291
07/04/2025,13:05:43,110766,129,1292
07/04/2025,13:05:45,110501,129,1293
07/04/2025,13:05:47,110225,129,1293
07/04/2025,13:05:49,109619,129,1292
07/04/2025,13:05:51,109610,127,1292
07/04/2025,13:05:53,110254,127,1291
07/04/2025,13:05:55,110368,128,1291
07/04/2025,13:05:57,110378,128,1291
07/04/2025,13:05:59,109354,127,1292
07/04/2025,13:06:01,110102,129,1293
07/04/2025,13:06:03,110491,129,1291
07/04/2025,13:06:05,110235,127,1292
07/04/2025,13:06:07,110358,129,1291
07/04/2025,13:06:09,110491,127,1291
07/04/2025,13:06:11,110614,129,1292
07/04/2025,13:06:13,110510,127,1293
07/04/2025,13:06:15,110481,127,1293
07/04/2025,13:06:17,111136,127,1291
07/04/2025,13:06:19,109989,127,1291
07/04/2025,13:06:21,110727,127,1291
07/04/2025,13:06:23,111003,128,1291
07/04/2025,13:06:25,110757,128,1291
07/04/2025,13:06:27,110378,128,1293
07/04/2025,13:06:29,110245,128,1291
07/04/2025,13:06:31,110501,129,1293
07/04/2025,13:06:33,110510,127,1291
07/04/2025,13:06:35,110786,127,1291
07/04/2025,13:06:37,111126,128,1290
07/04/2025,13:06:39,110747,128,1291
07/04/2025,13:06:41,110594,127,1291
07/04/2025,13:06:43,110880,127,1292
07/04/2025,13:06:45,110358,128,1292
07/04/2025,13:06:47,110766,128,1291
07/04/2025,13:06:49,110757,128,1291
07/04/2025,13:06:51,110766,128,1291
07/04/2025,13:06:53,110491,127,1291
07/04/2025,13:06:55,110378,128,1291
07/04/2025,13:06:57,110510,127,1291
07/04/2025,13:06:59,110737,127,1291
07/04/2025,13:07:01,110880,128,1291
07/04/2025,13:07:03,110378,129,1291
07/04/2025,13:07:05,110776,128,1293
07/04/2025,13:07:07,110368,128,1291
07/04/2025,13:07:09,110737,128,1291
07/04/2025,13:07:11,110481,128,1291
07/04/2025,13:07:13,110368,128,1290
07/04/2025,13:07:15,110604,128,1293
07/04/2025,13:07:17,110501,128,1291
07/04/2025,13:07:19,110993,128,1291
07/04/2025,13:07:21,110737,129,1291
07/04/2025,13:07:23,111525,129,1293
07/04/2025,13:07:25,110510,128,1291
07/04/2025,13:07:27,110624,127,1290
